Date,UNH
4/06/2016 16:00,128.03
4/07/2016 16:00,126.87
4/08/2016 16:00,125.68
4/11/2016 16:00,126.33
4/12/2016 16:00,126.8
4/13/2016 16:00:00,127.76
4/14/2016 16:00:00,127.98
4/15/2016 16:00:00,127.33
4/18/2016 16:00:00,127.81
4/19/2016 16:00:00,130.5
4/20/2016 16:00:00,133.93
4/21/2016 16:00:00,132.96
4/22/2016 16:00:00,134.13
4/25/2016 16:00:00,133.78
4/26/2016 16:00:00,134.24
4/27/2016 16:00:00,132.8
4/28/2016 16:00:00,132.07
4/29/2016 16:00:00,131.68
5/02/2016 16:00,132.1
5/03/2016 16:00,132.46
5/04/2016 16:00,132.03
5/05/2016 16:00,132.31
5/06/2016 16:00,132.04
5/09/2016 16:00,132.67
5/10/2016 16:00,133.57
5/11/2016 16:00,130.69
5/12/2016 16:00,129.74
5/13/2016 16:00:00,129
5/16/2016 16:00:00,130.64
5/17/2016 16:00:00,129.56
5/18/2016 16:00:00,130.51
5/19/2016 16:00:00,130
5/20/2016 16:00:00,130.94
5/23/2016 16:00:00,130.42
5/24/2016 16:00:00,132.59
5/25/2016 16:00:00,133.42
5/26/2016 16:00:00,132.98
5/27/2016 16:00:00,134
5/31/2016 16:00:00,133.67
6/01/2016 16:00,134.53
6/02/2016 16:00,136.04
6/03/2016 16:00,136.84
6/06/2016 16:00,138.15
6/07/2016 16:00,136.94
6/08/2016 16:00,140.4
6/09/2016 16:00,140.68
6/10/2016 16:00,139.24
6/13/2016 16:00:00,138.09
6/14/2016 16:00:00,137.87
6/15/2016 16:00:00,137.26
6/16/2016 16:00:00,138.66
6/17/2016 16:00:00,137.69
6/20/2016 16:00:00,138.52
6/21/2016 16:00:00,138.19
6/22/2016 16:00:00,137.9
6/23/2016 16:00:00,139.19
6/24/2016 16:00:00,137.29
6/27/2016 16:00:00,137.11
6/28/2016 16:00:00,138.71
6/29/2016 16:00:00,140.52
6/30/2016 16:00:00,141.2
7/01/2016 16:00,140.86
7/05/2016 16:00,141.56
7/06/2016 16:00,142.38
7/07/2016 16:00,140.8
7/08/2016 16:00,141.27
7/11/2016 16:00,140.32
7/12/2016 16:00,139.86
7/13/2016 16:00:00,141.48
7/14/2016 16:00:00,140.84
7/15/2016 16:00:00,141.33
7/18/2016 16:00:00,140.75
7/19/2016 16:00:00,142.59
7/20/2016 16:00:00,143.02
7/21/2016 16:00:00,142.87
7/22/2016 16:00:00,143.69
7/25/2016 16:00:00,141.73
7/26/2016 16:00:00,141.7
7/27/2016 16:00:00,141.68
7/28/2016 16:00:00,142.76
7/29/2016 16:00:00,143.2
8/01/2016 16:00,143.51
8/02/2016 16:00,143.17
8/03/2016 16:00,142.88
8/04/2016 16:00,142.71
8/05/2016 16:00,142.99
8/08/2016 16:00,142.13
8/09/2016 16:00,141.82
8/10/2016 16:00,142.19
8/11/2016 16:00,142.63
8/12/2016 16:00,142.88
8/15/2016 16:00:00,141.62
8/16/2016 16:00:00,141.08
8/17/2016 16:00:00,141.71
8/18/2016 16:00:00,142.17
8/19/2016 16:00:00,142.04
8/22/2016 16:00:00,142.09
8/23/2016 16:00:00,142.01
8/24/2016 16:00:00,139.87
8/25/2016 16:00:00,137.3
8/26/2016 16:00:00,136.62
8/29/2016 16:00:00,137.27
8/30/2016 16:00:00,136.87
8/31/2016 16:00:00,136.05
9/01/2016 16:00,135.74
9/02/2016 16:00,136.61
9/06/2016 16:00,135.97
9/07/2016 16:00,134.99
9/08/2016 16:00,135.44
9/09/2016 16:00,133.62
9/12/2016 16:00,135.53
9/13/2016 16:00:00,133.95
