Date,TSLA
28/11/2018,69.57
29/11/2018,68.23
30/11/2018,70.1
3/12/2018,71.7
4/12/2018,71.94
6/12/2018,72.61
7/12/2018,71.59
10/12/2018,73.03
11/12/2018,73.35
12/12/2018,73.32
13/12/2018,75.36
14/12/2018,73.14
17/12/2018,69.68
18/12/2018,67.41
19/12/2018,66.59
20/12/2018,63.08
21/12/2018,63.95
24/12/2018,59.08
26/12/2018,65.22
27/12/2018,63.23
28/12/2018,66.77
31/12/2018,66.56
