Date,AMZN
30/08/2016,767.58
31/08/2016,769.16
1/09/2016,770.62
2/09/2016,772.44
6/09/2016,788.87
7/09/2016,784.48
8/09/2016,784.06
9/09/2016,760.14
12/09/2016,771.49
13/09/2016,761.01
14/09/2016,761.09
15/09/2016,769.69
16/09/2016,778.52
19/09/2016,775.1
20/09/2016,780.22
21/09/2016,789.74
22/09/2016,804.7
23/09/2016,805.75
26/09/2016,799.16
27/09/2016,816.11
28/09/2016,828.72
29/09/2016,829.05
30/09/2016,837.31
3/10/2016,836.74
4/10/2016,834.03
5/10/2016,844.36
6/10/2016,841.66
7/10/2016,839.43
10/10/2016,841.71
11/10/2016,831
12/10/2016,834.09
13/10/2016,829.28
14/10/2016,822.96
17/10/2016,812.95
18/10/2016,817.65
19/10/2016,817.69
20/10/2016,810.32
21/10/2016,818.99
24/10/2016,838.09
25/10/2016,835.18
26/10/2016,822.59
27/10/2016,818.36
28/10/2016,776.32
31/10/2016,789.82
1/11/2016,785.41
2/11/2016,765.56
3/11/2016,767.03
4/11/2016,755.05
7/11/2016,784.93
8/11/2016,787.75
9/11/2016,771.88
10/11/2016,742.38
11/11/2016,739.01
14/11/2016,719.07
15/11/2016,743.24
16/11/2016,746.49
17/11/2016,756.4
18/11/2016,760.16
21/11/2016,780
22/11/2016,785.33
23/11/2016,780.12
25/11/2016,780.37
28/11/2016,766.77
29/11/2016,762.52
30/11/2016,750.57
1/12/2016,743.65
2/12/2016,740.34
5/12/2016,759.36
6/12/2016,764.72
7/12/2016,770.42
8/12/2016,767.33
9/12/2016,768.66
12/12/2016,760.12
13/12/2016,774.34
14/12/2016,768.82
15/12/2016,761
16/12/2016,757.77
19/12/2016,766
20/12/2016,771.22
21/12/2016,770.6
22/12/2016,766.34
23/12/2016,760.59
27/12/2016,771.4
28/12/2016,772.13
29/12/2016,765.15
30/12/2016,749.87
3/01/2017,753.67
4/01/2017,757.18
5/01/2017,780.45
6/01/2017,795.99
9/01/2017,796.92
10/01/2017,795.9
11/01/2017,799.02
12/01/2017,813.64
13/01/2017,817.14
17/01/2017,809.72
18/01/2017,807.48
19/01/2017,809.04
20/01/2017,808.33
23/01/2017,817.88
24/01/2017,822.44
25/01/2017,836.52
26/01/2017,839.15
27/01/2017,835.77
30/01/2017,830.38
31/01/2017,823.48
1/02/2017,832.35
2/02/2017,839.95
3/02/2017,810.2
6/02/2017,807.64
7/02/2017,812.5
8/02/2017,819.71
9/02/2017,821.36
10/02/2017,827.46
13/02/2017,836.53
14/02/2017,836.39
15/02/2017,842.7
16/02/2017,844.14
17/02/2017,845.07
21/02/2017,856.44
22/02/2017,855.61
23/02/2017,852.19
24/02/2017,845.24
27/02/2017,848.64
28/02/2017,845.04
1/03/2017,853.08
2/03/2017,848.91
3/03/2017,849.88
6/03/2017,846.61
7/03/2017,846.02
8/03/2017,850.5
9/03/2017,853
10/03/2017,852.46
13/03/2017,854.59
14/03/2017,852.53
15/03/2017,852.97
16/03/2017,853.42
17/03/2017,852.31
20/03/2017,856.97
21/03/2017,843.2
22/03/2017,848.06
23/03/2017,847.38
24/03/2017,845.61
27/03/2017,846.82
28/03/2017,856
29/03/2017,874.32
30/03/2017,876.34
31/03/2017,886.54
3/04/2017,891.51
4/04/2017,906.83
5/04/2017,909.28
6/04/2017,898.28
7/04/2017,894.88
10/04/2017,907.04
11/04/2017,902.36
12/04/2017,896.23
13/04/2017,884.67
17/04/2017,901.99
18/04/2017,903.78
19/04/2017,899.2
20/04/2017,902.06
21/04/2017,898.53
24/04/2017,907.41
25/04/2017,907.62
26/04/2017,909.29
27/04/2017,918.38
28/04/2017,924.99
1/05/2017,948.23
2/05/2017,946.94
3/05/2017,941.03
4/05/2017,937.53
5/05/2017,934.15
8/05/2017,949.04
9/05/2017,952.82
10/05/2017,948.95
11/05/2017,947.62
12/05/2017,961.35
15/05/2017,957.97
16/05/2017,966.07
17/05/2017,944.76
18/05/2017,958.49
19/05/2017,959.84
22/05/2017,970.67
23/05/2017,971.54
24/05/2017,980.35
25/05/2017,993.38
26/05/2017,995.78
30/05/2017,996.7
31/05/2017,994.62
1/06/2017,995.95
2/06/2017,1006.73
5/06/2017,1011.34
6/06/2017,1003
7/06/2017,1010.07
8/06/2017,1010.27
9/06/2017,978.31
12/06/2017,964.91
13/06/2017,980.79
14/06/2017,976.47
15/06/2017,964.17
16/06/2017,987.71
19/06/2017,995.17
20/06/2017,992.59
21/06/2017,1002.23
22/06/2017,1001.3
23/06/2017,1003.74
26/06/2017,993.98
27/06/2017,976.78
28/06/2017,990.33
29/06/2017,975.93
30/06/2017,968
3/07/2017,953.66
5/07/2017,971.4
6/07/2017,965.14
7/07/2017,978.76
10/07/2017,996.47
11/07/2017,994.13
12/07/2017,1006.51
13/07/2017,1000.63
14/07/2017,1001.81
17/07/2017,1010.04
18/07/2017,1024.45
19/07/2017,1026.87
20/07/2017,1028.7
21/07/2017,1025.67
24/07/2017,1038.95
25/07/2017,1039.87
26/07/2017,1052.8
27/07/2017,1046
28/07/2017,1020.04
31/07/2017,987.78
1/08/2017,996.19
2/08/2017,995.89
3/08/2017,986.92
4/08/2017,987.58
7/08/2017,992.27
8/08/2017,989.84
9/08/2017,982.01
10/08/2017,956.92
11/08/2017,967.99
14/08/2017,983.3
15/08/2017,982.74
16/08/2017,978.18
17/08/2017,960.57
18/08/2017,958.47
21/08/2017,953.29
22/08/2017,966.9
23/08/2017,958
24/08/2017,952.45
25/08/2017,945.26
28/08/2017,946.02
29/08/2017,954.06
30/08/2017,967.59
31/08/2017,980.6
1/09/2017,978.25
5/09/2017,965.27
6/09/2017,967.8
7/09/2017,979.47
8/09/2017,965.9
11/09/2017,977.96
12/09/2017,982.58
13/09/2017,999.6
14/09/2017,992.21
15/09/2017,986.79
18/09/2017,974.19
19/09/2017,969.86
20/09/2017,973.21
21/09/2017,964.65
22/09/2017,955.1
25/09/2017,939.79
26/09/2017,938.6
27/09/2017,950.87
28/09/2017,956.4
29/09/2017,961.35
2/10/2017,959.19
3/10/2017,957.1
4/10/2017,965.45
5/10/2017,980.85
6/10/2017,989.58
9/10/2017,990.99
10/10/2017,987.2
11/10/2017,995
12/10/2017,1000.93
13/10/2017,1002.94
16/10/2017,1006.34
